,lang,edit_history_tweet_ids,author_id,entities,conversation_id,reply_settings,text,id,public_metrics,created_at,possibly_sensitive,context_annotations,referenced_tweets,in_reply_to_user_id,attachments
0,en,['1548039919087415298'],123883921,"{'hashtags': [{'start': 199, 'end': 202, 'tag': 'no'}, {'start': 203, 'end': 219, 'tag': 'stillboughtthem'}]}",1548039919087415298,everyone,"Just bought 2 rotors for my bike (posh ice tech ones) and two for my lads car. Guess which ones were more expensive.

Still they have 'ice' and 'tech' in the description so that's worth the premium

#no #stillboughtthem",1548039919087415298,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'impression_count': 0}",2022-07-15T20:20:52.000Z,False,,,,
1,en,['1185289088607440896'],1147108534850658304,"{'annotations': [{'start': 100, 'end': 102, 'probability': 0.4847, 'type': 'Organization', 'normalized_text': 'ICE'}], 'hashtags': [{'start': 30, 'end': 39, 'tag': 'petition'}, {'start': 85, 'end': 88, 'tag': 'No'}, {'start': 89, 'end': 94, 'tag': 'tech'}, {'start': 99, 'end': 103, 'tag': 'ICE'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'KeithTse2', 'id': '861942444'}, {'start': 43, 'end': 50, 'username': 'github', 'id': '13334762'}, {'start': 51, 'end': 63, 'username': 'natfriedman', 'id': '13235832'}, {'start': 64, 'end': 77, 'username': 'satyanadella', 'id': '20571756'}], 'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/I69fEKpsMZ', 'expanded_url': 'https://act.credoaction.com/sign/github-ice', 'display_url': 'act.credoaction.com/sign/github-ice'}]}",1185289088607440896,everyone,RT @KeithTse2: Let's sign the #petition to @GitHub @natfriedman @satyanadella to say #No #tech for #ICE : https://t.co/I69fEKpsMZ via @CRED…,1185289088607440896,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-10-18T20:18:34.000Z,False,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '827095523274346500', 'name': 'Satya Nadella', 'description': 'Satya Nadella'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597226799105', 'name': 'B2B'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597172203520', 'name': 'Services - B2B'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040692468', 'name': 'GitHub'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878777191211008', 'name': 'Leadership', 'description': 'Leadership'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '827095523274346500', 'name': 'Satya Nadella', 'description': 'Satya Nadella'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847868745150119936', 'name': 'Family & relationships', 'description': 'Hobbies and interests'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1166406108623163392', 'name': 'Business personalities'}}]","[{'type': 'retweeted', 'id': '1185288587442556928'}]",,
2,en,['1185288587442556928'],861942444,"{'annotations': [{'start': 85, 'end': 87, 'probability': 0.6135, 'type': 'Organization', 'normalized_text': 'ICE'}], 'hashtags': [{'start': 15, 'end': 24, 'tag': 'petition'}, {'start': 70, 'end': 73, 'tag': 'No'}, {'start': 74, 'end': 79, 'tag': 'tech'}, {'start': 84, 'end': 88, 'tag': 'ICE'}, {'start': 132, 'end': 139, 'tag': 'resist'}, {'start': 140, 'end': 154, 'tag': 'NoDeportation'}, {'start': 155, 'end': 164, 'tag': 'Migrants'}, {'start': 165, 'end': 179, 'tag': 'MigrantRights'}, {'start': 180, 'end': 194, 'tag': 'SayNoToRacism'}], 'mentions': [{'start': 28, 'end': 35, 'username': 'github', 'id': '13334762'}, {'start': 36, 'end': 48, 'username': 'natfriedman', 'id': '13235832'}, {'start': 49, 'end': 62, 'username': 'satyanadella', 'id': '20571756'}, {'start': 119, 'end': 131, 'username': 'CREDOMobile', 'id': '14630443'}], 'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/I69fEKpsMZ', 'expanded_url': 'https://act.credoaction.com/sign/github-ice', 'display_url': 'act.credoaction.com/sign/github-ice'}]}",1185288587442556928,everyone,"Let's sign the #petition to @GitHub @natfriedman @satyanadella to say #No #tech for #ICE : https://t.co/I69fEKpsMZ via @CREDOMobile #resist
#NoDeportation #Migrants #MigrantRights #SayNoToRacism",1185288587442556928,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-10-18T20:16:35.000Z,False,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '827095523274346500', 'name': 'Satya Nadella', 'description': 'Satya Nadella'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597226799105', 'name': 'B2B'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597172203520', 'name': 'Services - B2B'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040692468', 'name': 'GitHub'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878777191211008', 'name': 'Leadership', 'description': 'Leadership'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '827095523274346500', 'name': 'Satya Nadella', 'description': 'Satya Nadella'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847868745150119936', 'name': 'Family & relationships', 'description': 'Hobbies and interests'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1166406108623163392', 'name': 'Business personalities'}}]",,,
3,en,['1608909092621545473'],97133219,"{'annotations': [{'start': 4, 'end': 7, 'probability': 0.5148, 'type': 'Organization', 'normalized_text': 'OCAD'}, {'start': 79, 'end': 88, 'probability': 0.6712, 'type': 'Other', 'normalized_text': 'LexisNexis'}], 'hashtags': [{'start': 104, 'end': 117, 'tag': 'NoTechForICE'}, {'start': 235, 'end': 252, 'tag': 'EraseTheDatabase'}, {'start': 265, 'end': 277, 'tag': 'FreeThemAll'}], 'mentions': [{'start': 39, 'end': 50, 'username': 'ConMijente', 'id': '3282033720'}, {'start': 55, 'end': 70, 'username': 'JustFuturesLaw', 'id': '1145081642731675648'}]}",1608909091400994817,everyone,"(2) OCAD members, filed a lawsuit with @ConMijente and @JustFuturesLaw against LexisNexis - organizing  #NoTechForICE, hosted our Gala, Celebrating 10 Years of Resisting Deportations, &amp; continued to expand our crimigration work w/ #EraseTheDatabase &amp; more. #FreeThemAll",1608909092621545473,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 1, 'impression_count': 1125}",2022-12-30T19:33:14.000Z,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10044802081', 'name': 'LexisNexis'}}]","[{'type': 'replied_to', 'id': '1608909091400994817'}]",97133219,
4,en,['1608533699745779715'],3282033720,"{'annotations': [{'start': 183, 'end': 185, 'probability': 0.4902, 'type': 'Organization', 'normalized_text': 'ICE'}, {'start': 211, 'end': 213, 'probability': 0.4093, 'type': 'Organization', 'normalized_text': 'ICE'}, {'start': 253, 'end': 260, 'probability': 0.6788, 'type': 'Place', 'normalized_text': 'Illinois'}], 'hashtags': [{'start': 41, 'end': 54, 'tag': 'NoTechForICE'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'UWUnited_', 'id': '1321172756294213641'}, {'start': 11, 'end': 23, 'username': 'FIELHouston', 'id': '133589460'}, {'start': 83, 'end': 94, 'username': 'LexisNexis', 'id': '19084210'}]}",1608533275256963072,everyone,"@UWUnited_ @FIELHouston We continued our #NoTechForICE campaign, suing data broker @LexisNexis for its many, many privacy violations -- including selling dossiers of personal info to ICE &amp; the cops, helping ICE skirt sanctuary laws, &amp; violating Illinois privacy laws.",1608533699745779715,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0, 'impression_count': 639}",2022-12-29T18:41:33.000Z,False,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1047123725525479425', 'name': 'Information security', 'description': 'Information Security'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1047123725525479425', 'name': 'Information security', 'description': 'Information Security'}}, {'domain': {'id': '159', 'name': 'States', 'description': 'States, provinces, or prefectures, like California or Fukushima Prefecture'}, 'entity': {'id': '1004437399626080256', 'name': 'Illinois', 'description': 'Illinois'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10044802081', 'name': 'LexisNexis'}}]","[{'type': 'replied_to', 'id': '1608533536457228289'}]",3282033720,
5,en,['1604761240517365760'],3253750196,"{'annotations': [{'start': 47, 'end': 56, 'probability': 0.8124, 'type': 'Organization', 'normalized_text': 'Cellebrite'}, {'start': 101, 'end': 103, 'probability': 0.8341, 'type': 'Organization', 'normalized_text': 'ICE'}, {'start': 121, 'end': 125, 'probability': 0.9065, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'BDSmovement', 'id': '46678624'}]}",1604761240517365760,everyone,"RT @BDSmovement: Israeli phone hacking company Cellebrite has signed a new $30 million contract with ICE, implementer of Trump's racist cam…",1604761240517365760,"{'retweet_count': 144, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2022-12-19T08:51:09.000Z,False,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070032753834438656', 'name': 'Political figures', 'description': 'Politician'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1124379225207656448', 'name': 'Trump says he discussed Venezuela and the Mueller report with Putin in an hour-long call', 'description': 'President Trump confirmed the call in a series of Tweets on Friday, adding that the political turmoil in Venezuela was also a subject of a phone conversation with Russia\'s Vladimir Putin. Referring to the report\'s conclusion that Russia interfered in the 2016 election while clearing the Trump campaign of conspiracy, Trump said he and Putin discussed the ""Russia Hoax.""'}}]","[{'type': 'retweeted', 'id': '1173629671977750530'}]",,
6,en,['1603776218901647360'],201864200,"{'annotations': [{'start': 19, 'end': 22, 'probability': 0.5791, 'type': 'Organization', 'normalized_text': 'AMZN'}], 'cashtags': [{'start': 18, 'end': 23, 'tag': 'AMZN'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'athenaforall', 'id': '1196551900788752384'}]}",1603776218901647360,everyone,"RT @athenaforall: $AMZN shareholders demand transparency for links to  human rights abuses and the fueling of 

🚔ICE raids
👁️immigrant surv…",1603776218901647360,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2022-12-16T15:37:01.000Z,False,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696848252391426', 'name': 'Financial Services Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Banks, Credit cards, Insurance, Investments, Stocks '}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026792024', 'name': 'Amazon'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026792024', 'name': 'Amazon'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847894852779900928', 'name': 'Stocks & indices', 'description': 'Stocks'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '864154902926196737', 'name': 'S&P 500', 'description': 'S&P 500'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303008576286281742', 'name': '$AMZN'}}, {'domain': {'id': '166', 'name': 'Stocks', 'description': 'for individual and types of stocks, e.g., $TRX, $QQQ'}, 'entity': {'id': '1303008576286281742', 'name': '$AMZN'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847894852779900928', 'name': 'Stocks & indices', 'description': 'Stocks'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '788929372342263808', 'name': 'Cheddar', 'description': 'Cheddar'}}]","[{'type': 'retweeted', 'id': '1603469315147239436'}]",,
7,en,['1603602764537397250'],59895033,"{'annotations': [{'start': 38, 'end': 44, 'probability': 0.8869, 'type': 'Other', 'normalized_text': 'twitter'}], 'hashtags': [{'start': 145, 'end': 158, 'tag': 'notechforice'}]}",1603602764537397250,everyone,"pretty much every attempt to monetize twitter is a joke, but i would pay to see what happened to my account. after i tweeted my participation in #notechforice and the engagement on every single one of my tweets declined significantly",1603602764537397250,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'impression_count': 237}",2022-12-16T04:07:47.000Z,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}]",,,
8,en,['1603479920012693504'],1286446231,"{'annotations': [{'start': 19, 'end': 22, 'probability': 0.6371, 'type': 'Organization', 'normalized_text': 'AMZN'}, {'start': 115, 'end': 120, 'probability': 0.9346, 'type': 'Organization', 'normalized_text': 'Amazon'}], 'cashtags': [{'start': 18, 'end': 23, 'tag': 'AMZN'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'athenaforall', 'id': '1196551900788752384'}]}",1603479920012693504,everyone,RT @athenaforall: $AMZN shareholders flag concern that company’s due diligence policies aren't good enough to stop Amazon-enabled rights vi…,1603479920012693504,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2022-12-15T19:59:38.000Z,False,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696848252391426', 'name': 'Financial Services Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Banks, Credit cards, Insurance, Investments, Stocks '}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026792024', 'name': 'Amazon'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026792024', 'name': 'Amazon'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847894852779900928', 'name': 'Stocks & indices', 'description': 'Stocks'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '864154902926196737', 'name': 'S&P 500', 'description': 'S&P 500'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303008576286281742', 'name': '$AMZN'}}, {'domain': {'id': '166', 'name': 'Stocks', 'description': 'for individual and types of stocks, e.g., $TRX, $QQQ'}, 'entity': {'id': '1303008576286281742', 'name': '$AMZN'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847894852779900928', 'name': 'Stocks & indices', 'description': 'Stocks'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '788929372342263808', 'name': 'Cheddar', 'description': 'Cheddar'}}]","[{'type': 'retweeted', 'id': '1603472541389127680'}]",,
9,en,['1603473598261432340'],1362588085247238150,"{'annotations': [{'start': 19, 'end': 22, 'probability': 0.6371, 'type': 'Organization', 'normalized_text': 'AMZN'}, {'start': 115, 'end': 120, 'probability': 0.9346, 'type': 'Organization', 'normalized_text': 'Amazon'}], 'cashtags': [{'start': 18, 'end': 23, 'tag': 'AMZN'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'athenaforall', 'id': '1196551900788752384'}]}",1603473598261432340,everyone,RT @athenaforall: $AMZN shareholders flag concern that company’s due diligence policies aren't good enough to stop Amazon-enabled rights vi…,1603473598261432340,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2022-12-15T19:34:31.000Z,False,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696848252391426', 'name': 'Financial Services Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Banks, Credit cards, Insurance, Investments, Stocks '}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026792024', 'name': 'Amazon'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026792024', 'name': 'Amazon'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847894852779900928', 'name': 'Stocks & indices', 'description': 'Stocks'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '864154902926196737', 'name': 'S&P 500', 'description': 'S&P 500'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303008576286281742', 'name': '$AMZN'}}, {'domain': {'id': '166', 'name': 'Stocks', 'description': 'for individual and types of stocks, e.g., $TRX, $QQQ'}, 'entity': {'id': '1303008576286281742', 'name': '$AMZN'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847894852779900928', 'name': 'Stocks & indices', 'description': 'Stocks'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '788929372342263808', 'name': 'Cheddar', 'description': 'Cheddar'}}]","[{'type': 'retweeted', 'id': '1603472541389127680'}]",,
