,url,outlet,Author,Date,Title,page_num
0,https://www.texastribune.org/2018/09/15/donald-trump-endorses-dallas-congressman-pete-sessions-re-election/,Texas Tribune,PATRICK SVITEK,"SEPT. 15, 2018",Trump endorses Dallas congressman Pete Sessions for re-election,0
1,https://www.texastribune.org/2018/09/13/texas-senate-republican-supermajority/,Texas Tribune,ALEX SAMUELS,"SEPT. 13, 2018","With a supermajority, Republicans have complete control of the Texas Senate. That's at risk this election cycle.",1
2,https://www.texastribune.org/2018/09/12/statewide-judicial-elections-federal-judge-upholds-partisan/,Texas Tribune,ALEXA URA,"SEPT. 12, 2018",Federal judge upholds Texas' partisan statewide judicial elections system,2
3,https://www.texastribune.org/2018/09/11/democrat-henry-cuellar-fundraising-republican-john-carter/,Texas Tribune,ABBY LIVINGSTON,"SEPT. 11, 2018","In the U.S. House, Democrat Henry Cuellar raises eyebrows by fundraising for Republican John Carter",3
4,https://www.texastribune.org/2018/09/08/trump-official-ted-cruz-lose-beto-o-rourke/,Texas Tribune,JOLIE MCCULLOUGH,"SEPT. 8, 2018",Report: Trump official says U.S. Sen. Ted Cruz could lose to U.S. Rep. Beto O'Rourke,4
5,https://www.texastribune.org/2018/09/14/ted-cruz-beto-orourke-agree-3-debates/,Texas Tribune,PATRICK SVITEK,"SEPT. 14, 2018","Cruz, O'Rourke agree to 3 debates",5
6,https://www.texastribune.org/2018/08/31/john-carter-mj-hegar-2018/,Texas Tribune,ABBY LIVINGSTON,"AUG. 31, 2018",U.S. Rep. John Carter prepares for tougher-than-usual race against MJ Hegar,6
7,https://www.texastribune.org/2018/09/08/ted-cruz-beto-orourke-kick-jumpstart-post-labor-day-campaigns-harris-c/,Texas Tribune,PATRICK SVITEK,"SEPT. 8, 2018","Cruz, O'Rourke rev up post-Labor Day campaigns in battleground Harris County",7
8,https://www.texastribune.org/2018/09/07/will-hurd-gina-ortiz-jones/,Texas Tribune,ALANA ROCHA,"SEPT. 7, 2018","Meet U.S. Rep. Will Hurd and his Democratic challenger, Gina Ortiz Jones",8
9,https://www.texastribune.org/2018/09/06/democrats-dallas-2018-battleground-texas-house/,Texas Tribune,CASSANDRA POLLOCK,"SEPT. 6, 2018",Democrats are turning Dallas into a midterm battleground for the Texas House,9
10,https://www.texastribune.org/2018/09/06/orourke-texts-immigrants/,Texas Tribune,PATRICK SVITEK,"SEPT. 6, 2018","O'Rourke campaign: ""Impostor"" responsible for texts about helping undocumented immigrants vote",10
