url,Author,Title,Date,date_clean
https://www.texastribune.org/2018/09/15/donald-trump-endorses-dallas-congressman-pete-sessions-re-election/,PATRICK SVITEK,Trump endorses Dallas congressman Pete Sessions for re-election,"SEPT. 15, 2018",2018-09-15
https://www.texastribune.org/2018/09/13/texas-senate-republican-supermajority/,ALEX SAMUELS,"With a supermajority, Republicans have complete control of the Texas Senate. That's at risk this election cycle.","SEPT. 13, 2018",2018-09-13
https://www.texastribune.org/2018/09/12/statewide-judicial-elections-federal-judge-upholds-partisan/,ALEXA URA,Federal judge upholds Texas' partisan statewide judicial elections system,"SEPT. 12, 2018",2018-09-12
https://www.texastribune.org/2018/09/11/democrat-henry-cuellar-fundraising-republican-john-carter/,ABBY LIVINGSTON,"In the U.S. House, Democrat Henry Cuellar raises eyebrows by fundraising for Republican John Carter","SEPT. 11, 2018",2018-09-11
https://www.texastribune.org/2018/09/08/trump-official-ted-cruz-lose-beto-o-rourke/,JOLIE MCCULLOUGH,Report: Trump official says U.S. Sen. Ted Cruz could lose to U.S. Rep. Beto O'Rourke,"SEPT. 8, 2018",2018-09-08
https://www.texastribune.org/2018/09/14/ted-cruz-beto-orourke-agree-3-debates/,PATRICK SVITEK,"Cruz, O'Rourke agree to 3 debates","SEPT. 14, 2018",2018-09-14
https://www.texastribune.org/2018/08/31/john-carter-mj-hegar-2018/,ABBY LIVINGSTON,U.S. Rep. John Carter prepares for tougher-than-usual race against MJ Hegar,"AUG. 31, 2018",2018-08-31
https://www.texastribune.org/2018/09/08/ted-cruz-beto-orourke-kick-jumpstart-post-labor-day-campaigns-harris-c/,PATRICK SVITEK,"Cruz, O'Rourke rev up post-Labor Day campaigns in battleground Harris County","SEPT. 8, 2018",2018-09-08
https://www.texastribune.org/2018/09/07/will-hurd-gina-ortiz-jones/,ALANA ROCHA,"Meet U.S. Rep. Will Hurd and his Democratic challenger, Gina Ortiz Jones","SEPT. 7, 2018",2018-09-07
https://www.texastribune.org/2018/09/06/democrats-dallas-2018-battleground-texas-house/,CASSANDRA POLLOCK,Democrats are turning Dallas into a midterm battleground for the Texas House,"SEPT. 6, 2018",2018-09-06
https://www.texastribune.org/2018/09/06/orourke-texts-immigrants/,PATRICK SVITEK,"O'Rourke campaign: ""Impostor"" responsible for texts about helping undocumented immigrants vote","SEPT. 6, 2018",2018-09-06
https://www.texastribune.org/2018/09/07/ted-cruz-slams-beto-orourke-PAC-fundraiser/,ABBY LIVINGSTON,Ted Cruz campaign criticizes Beto O'Rourke for co-hosting fundraiser with PAC,"SEPT. 7, 2018",2018-09-07
https://www.texastribune.org/2018/09/12/border-patrol-apprehensions-families-increased-38-percent-august/,JULIÁN AGUILAR,Border Patrol apprehensions of families increased 38 percent in August,"SEPT. 12, 2018",2018-09-12
https://www.texastribune.org/2018/09/13/mj-hegar-fires-back-henry-cuellar-helping-her-gop-opponent-fundraise/,ABBY LIVINGSTON,MJ Hegar fires back at fellow Democrat Henry Cuellar for helping her GOP opponent fundraise,"SEPT. 13, 2018",2018-09-13
https://www.texastribune.org/2018/09/14/jerry-patterson-Miguel-Suazo-george-p-bush-texas-elections-2018/,BOBBY BLANCHARD,"Jerry Patterson, a Republican, endorses Democrat Miguel Suazo over George P. Bush","SEPT. 14, 2018",2018-09-14
https://www.texastribune.org/2018/09/12/rudy-giuliani-headline-pete-sessions-fundraiser/,ABBY LIVINGSTON,Rudy Giuliani to headline Pete Sessions fundraiser,"SEPT. 12, 2018",2018-09-12
https://www.texastribune.org/2018/09/11/greg-abbott-campaign-ad-pre-kindergarten-funding/,TEO ARMUS,Gov. Greg Abbott's campaign ads boast about expanding pre-K. Advocates say his claims are misleading.,"SEPT. 11, 2018",2018-09-11
https://www.texastribune.org/2018/08/31/ted-cruz-beto-orourke-donald-trump-texas/,ALEX SAMUELS,"Donald Trump says he'll campaign for Ted Cruz at ""biggest stadium in Texas we can find""","AUG. 31, 2018",2018-08-31
https://www.texastribune.org/2018/09/04/cruz-orourke-el-paso-eminent-domain/,PATRICK SVITEK,"Cruz allies take aim at O'Rourke over eminent domain, father-in-law","SEPT. 4, 2018",2018-09-04
https://www.texastribune.org/2018/09/09/beto-orourke-town-hall-san-marcos-texas-state/,TEO ARMUS,"At a Texas State town hall, college enthusiasm for O'Rourke was on display","SEPT. 9, 2018",2018-09-09
https://www.texastribune.org/2018/09/05/obamacare-texas-block-california-fort-worth-affordable-care-act/,EMMA PLATOFF,Texas asks a federal judge to block Obamacare nationwide,"SEPT. 5, 2018",2018-09-05
https://www.texastribune.org/2018/08/31/beto-orourke-dwi-episode-1998-included-car-crash-and-alleged-attempt-f/,THE WASHINGTON POST,Beto O’Rourke DWI episode in 1998 included car crash and alleged attempt to flee,"AUG. 31, 2018",2018-08-31
https://www.texastribune.org/2018/09/12/analysis-ted-cruz-beto-orourke-swoon-trouble/,ROSS RAMSEY,Analysis: The swoon for Beto O’Rourke doesn’t mean Ted Cruz will lose,"SEPT. 12, 2018",2018-09-12
https://www.texastribune.org/2018/09/12/texas-migrant-families-separated-zero-tolerance/,HANNAH WILEY,More than 400 kids remain separated from their parents. Here’s one lawyer's long-shot plan to reunite a family,"SEPT. 12, 2018",2018-09-12
https://www.texastribune.org/2018/09/11/federal-government-greatly-expand-tornillo-shelter-unaccompanied-minor/,JULIÁN AGUILAR,Federal government to greatly expand Tornillo shelter for unaccompanied minors,"SEPT. 11, 2018",2018-09-11
https://www.texastribune.org/2018/09/05/tribcast-trump-vows-stump-cruz-texas/,EMILY RAMSHAW,TribCast: Trump vows to stump for Cruz in Texas,"SEPT. 5, 2018",2018-09-05
https://www.texastribune.org/2018/09/07/state-rep-ron-reynolds-turns-himself-begin-serving-year-long-jail-sent/,JOLIE MCCULLOUGH,State Rep. Ron Reynolds turns himself in to serve year-long jail sentence,"SEPT. 7, 2018",2018-09-07
https://www.texastribune.org/2018/09/05/fetal-remains-texas-ruling-abortion-rights/,MARISSA EVANS,Judge strikes down Texas law requiring burial or cremation of fetal remains,"SEPT. 5, 2018",2018-09-05
